date             pg            sp
19880429      -0.000642      0.009425
19880531      -0.009724      0.003176
19880630       0.014730      0.043256
19880729      -0.021613     -0.005411
19880831      -0.006656     -0.038600
19880930       0.072027      0.039729
19881031       0.041563      0.025964
19881130      -0.009077     -0.018891
19881230       0.062595      0.014688
19890131       0.068103      0.071115
19890228      -0.037992     -0.028944
19890331       0.043724      0.020806
19890428       0.042432      0.050090
19890531       0.074510      0.035138
19890630       0.054745     -0.007925
19890731       0.108881      0.088370
19890831       0.076440      0.015517
19890929      -0.066148     -0.006544
19891031       0.083542     -0.025175
19891130       0.002904      0.016541
19891229       0.084942      0.021417
19900131      -0.082562     -0.068817
19900228      -0.001953      0.008539
19900330       0.060665      0.024255
19900430       0.049077     -0.026887
19900531       0.169912      0.091989
19900629       0.054463     -0.008886
19900731       0.000861     -0.005223
19900831      -0.112392     -0.094314
19900928      -0.053571     -0.051184
19901031       0.085763     -0.006698
19901130       0.054054      0.059934
19901231       0.045249      0.024828
19910131      -0.079365      0.041518
19910228       0.025237      0.067281
19910328       0.047692      0.022203
19910430      -0.008811      0.000346
19910531       0.014903      0.038577
19910628      -0.091043     -0.047893
19910731       0.050081      0.044859
19910830       0.034056      0.019649
19910930       0.016467     -0.019144
19911031      -0.008837      0.011860
19911129      -0.031390     -0.043928
19911231       0.158951      0.111588
19920131       0.110519     -0.019900
19920228      -0.020482      0.009565
19920331       0.006150     -0.021832
19920430       0.015159      0.027893
19920529      -0.004843      0.000964
19920630      -0.104623     -0.017359
19920731       0.106522      0.039374
19920831      -0.074074     -0.023998
19920930       0.053333      0.009106
19921030       0.076456      0.002106
19921130       0.026005      0.030262
19921231      -0.011521      0.010108
19930129      -0.067133      0.007046
19930226       0.045226      0.010484
19930331      -0.040865      0.018697
19930430      -0.009524     -0.025417
19930528       0.000000      0.022717
19930630       0.058524      0.000755
19930730      -0.056538     -0.005327
19930831      -0.007692      0.034432
19930930      -0.018088     -0.009988
19931029       0.148632      0.019393
19931130       0.046083     -0.012911
19931231       0.004405      0.010091
19940131       0.049298      0.032501
19940228      -0.033613     -0.030045
19940331      -0.069565     -0.045746
19940429       0.068879      0.011531
19940531      -0.008791      0.012419
19940630      -0.053215     -0.026812
19940729       0.051054      0.031467
19940831       0.091928      0.037643
19940930      -0.020534     -0.026898
19941031       0.060377      0.020834
19941130      -0.005964     -0.039505
19941230      -0.008000      0.012299
19950131       0.056048      0.024278
19950228       0.021113      0.036074
19950331      -0.003759      0.027329
19950428       0.060000      0.027960
19950531       0.028623      0.036312
19950630       0.000000      0.021279
19950731      -0.036174      0.031776
19950831       0.007260     -0.000320
19950929       0.109910      0.040098
19951031       0.057143     -0.004979
19951130       0.067901      0.041049
19951229      -0.040462      0.017444
19960131       0.016867      0.032617
19960229      -0.023810      0.006934
19960329       0.033537      0.007917
19960430       0.001770      0.013431
19960531       0.039941      0.022853
19960628       0.031294      0.002257
19960731      -0.010207     -0.045748
19960830      -0.004202      0.018814
19960930       0.097046      0.054173
19961031       0.020000      0.026131
19961129       0.098485      0.073376
19961231      -0.010345     -0.021505
19970131       0.074983      0.061317
19970228       0.038919      0.005928
19970331      -0.044745     -0.042614
19970430       0.099782      0.058406
19970530       0.096421      0.058577
19970630       0.024479      0.043453
19970731       0.080566      0.078123
19970829      -0.124897     -0.057446
19970930       0.037559      0.053154
19971031      -0.011729     -0.034478
19971128       0.120404      0.044587
19971231       0.047580      0.015732
19980130      -0.014847      0.010150
19980227       0.082935      0.070449
19980331      -0.005891      0.049946
19980430      -0.022933      0.009076
19980529       0.020532     -0.018826
19980630       0.085693      0.039438
19980731      -0.125216     -0.011615
19980831      -0.036220     -0.145797
19980930      -0.070261      0.062396
19981030       0.250931      0.080294
19981130      -0.011980      0.059126
19981231       0.042083      0.056375
19990129      -0.001670      0.041009
19990226      -0.015131     -0.032283
19990331       0.094274      0.038794
19990430      -0.039209      0.037944
19990528      -0.004664     -0.024970
19990630      -0.044177      0.054438
19990730       0.018291     -0.032046
19990831       0.095928     -0.006254
19990930      -0.055416     -0.028552
19991029       0.122080      0.062539
19991130       0.034565      0.019062
19991231       0.009793      0.057844
20000131      -0.074661     -0.050904
